"Date","Price","Open","High","Low","Vol.","Change %"
"06/12/1987","25,894.27","25,894.27","25,894.27","25,894.27","","0.01%"
"06/11/1987","25,890.94","25,890.94","25,890.94","25,890.94","","0.59%"
"06/10/1987","25,738.95","25,738.95","25,738.95","25,738.95","","1.41%"
"06/09/1987","25,379.88","25,379.88","25,379.88","25,379.88","","-0.56%"
"06/08/1987","25,523.89","25,523.89","25,523.89","25,523.89","","1.00%"
"06/05/1987","25,271.30","25,271.30","25,271.30","25,271.30","","-0.37%"
"06/04/1987","25,366.10","25,366.10","25,366.10","25,366.10","","1.26%"
"06/03/1987","25,049.39","25,049.39","25,049.39","25,049.39","","0.59%"
"06/02/1987","24,902.63","24,902.63","24,902.63","24,902.63","","-0.36%"
"06/01/1987","24,992.77","24,992.77","24,992.77","24,992.77","","0.89%"
"05/29/1987","24,772.39","24,772.39","24,772.39","24,772.39","","1.39%"
"05/28/1987","24,433.64","24,433.64","24,433.64","24,433.64","","-0.43%"
"05/27/1987","24,539.75","24,539.75","24,539.75","24,539.75","","-0.17%"
"05/26/1987","24,580.85","24,580.85","24,580.85","24,580.85","","-0.01%"
"05/25/1987","24,582.77","24,582.77","24,582.77","24,582.77","","1.76%"
"05/22/1987","24,156.69","24,156.69","24,156.69","24,156.69","","1.70%"
"05/21/1987","23,754.01","23,754.01","23,754.01","23,754.01","","1.43%"
"05/20/1987","23,419.60","23,419.60","23,419.60","23,419.60","","-2.73%"
"05/19/1987","24,077.88","24,077.88","24,077.88","24,077.88","","-0.91%"
"05/18/1987","24,298.98","24,298.98","24,298.98","24,298.98","","-1.74%"
"05/15/1987","24,729.02","24,729.02","24,729.02","24,729.02","","0.31%"
"05/14/1987","24,651.44","24,651.44","24,651.44","24,651.44","","1.18%"
"05/13/1987","24,363.19","24,363.19","24,363.19","24,363.19","","-0.70%"
"05/12/1987","24,535.85","24,535.85","24,535.85","24,535.85","","-0.29%"
"05/11/1987","24,608.22","24,608.22","24,608.22","24,608.22","","0.08%"
"05/08/1987","24,589.23","24,589.23","24,589.23","24,589.23","","1.58%"
"05/07/1987","24,207.55","24,207.55","24,207.55","24,207.55","","1.21%"
"05/06/1987","23,918.50","23,918.50","23,918.50","23,918.50","","1.00%"
"05/01/1987","23,680.80","23,680.80","23,680.80","23,680.80","","1.74%"
"04/30/1987","23,274.80","23,274.80","23,274.80","23,274.80","","1.68%"
"04/28/1987","22,889.89","22,889.89","22,889.89","22,889.89","","-0.79%"
"04/27/1987","23,072.39","23,072.39","23,072.39","23,072.39","","-3.89%"
"04/24/1987","24,006.30","24,006.30","24,006.30","24,006.30","","-0.08%"
"04/23/1987","24,024.60","24,024.60","24,024.60","24,024.60","","-0.30%"
"04/22/1987","24,097.69","24,097.69","24,097.69","24,097.69","","0.89%"
"04/21/1987","23,886.10","23,886.10","23,886.10","23,886.10","","-0.04%"
"04/20/1987","23,895.22","23,895.22","23,895.22","23,895.22","","-0.18%"
"04/17/1987","23,938.35","23,938.35","23,938.35","23,938.35","","0.29%"
"04/16/1987","23,868.43","23,868.43","23,868.43","23,868.43","","1.52%"
"04/15/1987","23,510.69","23,510.69","23,510.69","23,510.69","","-0.06%"
"04/14/1987","23,524.10","23,524.10","23,524.10","23,524.10","","2.64%"
"04/13/1987","22,919.50","22,919.50","22,919.50","22,919.50","","-1.28%"
"04/10/1987","23,216.50","23,216.50","23,216.50","23,216.50","","1.28%"
"04/09/1987","22,922.19","22,922.19","22,922.19","22,922.19","","0.04%"
"04/08/1987","22,913.00","22,913.00","22,913.00","22,913.00","","0.56%"
"04/07/1987","22,784.60","22,784.60","22,784.60","22,784.60","","0.88%"
"04/06/1987","22,586.10","22,586.10","22,586.10","22,586.10","","0.78%"
"04/03/1987","22,410.80","22,410.80","22,410.80","22,410.80","","0.19%"
"04/02/1987","22,367.69","22,367.69","22,367.69","22,367.69","","1.49%"
"04/01/1987","22,040.19","22,040.19","22,040.19","22,040.19","","2.20%"
"03/31/1987","21,566.69","21,566.69","21,566.69","21,566.69","","-0.28%"
"03/30/1987","21,627.60","21,627.60","21,627.60","21,627.60","","-1.81%"
"03/27/1987","22,026.60","22,026.60","22,026.60","22,026.60","","2.17%"
"03/26/1987","21,558.80","21,558.80","21,558.80","21,558.80","","0.40%"
"03/25/1987","21,473.00","21,473.00","21,473.00","21,473.00","","0.18%"
"03/24/1987","21,435.30","21,435.30","21,435.30","21,435.30","","-0.71%"
