"Date","Price","Open","High","Low","Vol.","Change %"
"05/29/2003","2,906.71","2,914.18","2,968.43","2,897.10","","-0.44%"
"05/28/2003","2,919.54","2,885.53","2,958.21","2,885.53","","1.60%"
"05/27/2003","2,873.60","2,827.66","2,875.14","2,769.45","","1.60%"
"05/26/2003","2,828.28","2,821.54","2,855.28","2,812.40","","0.19%"
"05/23/2003","2,822.83","2,867.10","2,886.07","2,804.13","","-1.48%"
"05/22/2003","2,865.21","2,826.47","2,865.21","2,817.63","","1.34%"
"05/21/2003","2,827.25","2,841.33","2,853.04","2,773.77","","-0.41%"
"05/20/2003","2,838.93","2,848.19","2,875.40","2,820.41","","-0.41%"
"05/19/2003","2,850.68","2,976.38","2,976.38","2,841.02","","-4.63%"
"05/16/2003","2,989.08","2,987.45","3,029.49","2,952.18","","-0.01%"
"05/15/2003","2,989.38","2,926.79","2,989.38","2,902.52","","2.17%"
"05/14/2003","2,926.03","2,906.95","2,960.23","2,888.20","","0.55%"
"05/13/2003","2,909.95","2,941.57","2,951.99","2,883.31","","-0.93%"
"05/12/2003","2,937.26","2,961.14","2,972.72","2,871.61","","-0.65%"
"05/09/2003","2,956.59","2,892.63","2,956.59","2,861.70","","2.44%"
"05/08/2003","2,886.08","3,005.12","3,016.57","2,884.51","","-3.98%"
"05/07/2003","3,005.64","3,063.41","3,068.08","2,992.79","","-2.00%"
"05/06/2003","3,066.95","3,002.40","3,066.95","2,977.62","","1.79%"
"05/05/2003","3,013.04","2,991.74","3,039.26","2,978.71","","0.91%"
"05/02/2003","2,986.00","2,938.72","2,986.00","2,888.46","","1.49%"
"04/30/2003","2,942.04","2,914.47","2,967.08","2,914.02","","1.14%"
"04/29/2003","2,908.96","2,958.12","3,004.79","2,908.96","","-1.52%"
"04/28/2003","2,953.92","2,834.46","2,953.92","2,821.35","","4.08%"
"04/25/2003","2,838.23","2,892.46","2,909.14","2,828.84","","-1.85%"
"04/24/2003","2,891.62","2,967.62","2,969.95","2,881.04","","-2.78%"
"04/23/2003","2,974.40","2,968.80","3,000.76","2,932.73","","0.45%"
"04/22/2003","2,960.96","2,898.36","2,965.21","2,843.80","","2.11%"
"04/17/2003","2,899.78","2,820.35","2,899.98","2,801.17","","2.66%"
"04/16/2003","2,824.68","2,843.33","2,915.69","2,824.68","","-0.33%"
"04/15/2003","2,834.12","2,792.06","2,867.64","2,792.06","","2.06%"
"04/14/2003","2,776.78","2,741.66","2,787.38","2,700.33","","1.57%"
"04/11/2003","2,733.95","2,700.61","2,797.42","2,700.61","","1.37%"
"04/10/2003","2,697.10","2,730.97","2,763.65","2,685.80","","-1.35%"
"04/09/2003","2,734.10","2,756.62","2,824.99","2,696.32","","-1.22%"
"04/08/2003","2,767.79","2,798.74","2,809.17","2,740.61","","-1.46%"
"04/07/2003","2,808.94","2,654.76","2,814.39","2,654.44","","5.84%"
"04/04/2003","2,654.07","2,573.16","2,656.25","2,553.67","","3.28%"
"04/03/2003","2,569.81","2,582.95","2,644.96","2,557.19","","-0.75%"
"04/02/2003","2,589.35","2,462.21","2,589.35","2,462.21","","5.68%"
"04/01/2003","2,450.19","2,426.24","2,473.94","2,395.72","","1.09%"
"03/31/2003","2,423.87","2,511.99","2,511.99","2,396.60","","-3.85%"
"03/28/2003","2,520.84","2,580.96","2,581.65","2,498.29","","-2.45%"
"03/27/2003","2,584.05","2,583.27","2,589.68","2,511.96","","0.18%"
"03/26/2003","2,579.33","2,634.89","2,680.53","2,579.33","","-2.15%"
"03/25/2003","2,636.10","2,541.79","2,636.72","2,481.71","","3.44%"
"03/24/2003","2,548.37","2,712.62","2,712.62","2,548.37","","-6.14%"
"03/21/2003","2,715.06","2,607.70","2,731.57","2,603.85","","4.23%"
"03/20/2003","2,604.85","2,607.76","2,657.50","2,551.91","","-0.40%"
